resume_text,job_role
"Experienced software engineer with skills in Python, Java, and JavaScript. Proficient in Django, Flask, and React. Strong knowledge of data structures, algorithms, and system design. Worked on microservices and REST APIs.",Software Engineer
"Developed machine learning models using scikit-learn, TensorFlow, and PyTorch. Experienced in data preprocessing, feature engineering, and model evaluation. Worked with NLP, computer vision, and deep learning.",Data Scientist
"Frontend developer with expertise in React, Vue.js, Angular, HTML5, CSS3, and JavaScript. Skilled in responsive design, UI/UX, and web performance optimization.",Web Developer
"Experienced data analyst proficient in SQL, Excel, Power BI, and Tableau. Strong skills in data visualization, statistical analysis, and business intelligence reporting.",Data Analyst
"Network engineer with expertise in Cisco routers, firewalls, LAN/WAN, VPN, and network security. Experienced in configuring and troubleshooting enterprise networks.",Network Engineer
"Mobile app developer with experience in Flutter, React Native, Android (Java/Kotlin), and iOS (Swift). Built several published apps on Play Store and App Store.",Mobile Developer
"DevOps engineer skilled in Docker, Kubernetes, Jenkins, CI/CD pipelines, AWS, Azure, and Linux administration. Experienced in infrastructure as code using Terraform.",DevOps Engineer
"Cybersecurity analyst with expertise in penetration testing, ethical hacking, SIEM tools, vulnerability assessment, and incident response. Certified in CEH and CompTIA Security+.",Cybersecurity Analyst
"Database administrator proficient in MySQL, PostgreSQL, Oracle, MongoDB, and Redis. Experienced in query optimization, indexing, backup, and database design.",Database Administrator
"Cloud architect with expertise in AWS, Google Cloud Platform, and Azure. Skilled in designing scalable, fault-tolerant, and cost-effective cloud solutions.",Cloud Architect
"Python developer with experience in Django, Flask, FastAPI, SQLAlchemy, and Celery. Built RESTful APIs and automated scripts for data processing.",Software Engineer
"Machine learning engineer with skills in TensorFlow, Keras, XGBoost, and model deployment using Flask and Docker. Experienced in MLOps and model monitoring.",Data Scientist
"Full stack developer using Node.js, Express, React, MongoDB, and GraphQL. Designed and deployed scalable web applications on AWS.",Web Developer
"Business analyst with SQL proficiency and experience in Power BI dashboards, KPI reporting, and Excel pivot tables for stakeholder presentations.",Data Analyst
"Systems administrator with Linux, Windows Server, Active Directory, and scripting skills in Bash and PowerShell for automation and monitoring.",Network Engineer
"Android developer with Kotlin and Java expertise. Published 5 apps with over 10,000 downloads. Skilled in MVVM, Retrofit, and Room database.",Mobile Developer
"Site reliability engineer with experience in Prometheus, Grafana, ELK stack, Ansible, and cloud infrastructure management on GCP.",DevOps Engineer
"Information security specialist skilled in firewall management, threat analysis, log monitoring, and compliance with ISO 27001 and GDPR.",Cybersecurity Analyst
"SQL Server DBA with expertise in SSRS, SSIS, stored procedures, replication, and performance tuning of large-scale transactional databases.",Database Administrator
"AWS certified solutions architect with hands-on experience in EC2, S3, RDS, Lambda, CloudFormation, and multi-region deployment strategies.",Cloud Architect
"Backend engineer proficient in Java Spring Boot, Hibernate, Kafka, and microservices architecture. Experience with containerization and agile development.",Software Engineer
"Data scientist with expertise in R, Python, statistical modeling, A/B testing, and predictive analytics. Delivered insights to marketing and product teams.",Data Scientist
"UI developer skilled in HTML, CSS, Sass, Bootstrap, Tailwind CSS, and JavaScript ES6+. Focused on accessibility and cross-browser compatibility.",Web Developer
"Data engineer with experience in Apache Spark, Hadoop, Kafka, Airflow, and building ETL pipelines for large-scale data warehousing.",Data Analyst
"IT support engineer with skills in hardware troubleshooting, networking, VoIP, Active Directory, and end-user support across multiple sites.",Network Engineer
"iOS developer using Swift and SwiftUI to build feature-rich apps. Experience with Core Data, AVFoundation, and App Store submission process.",Mobile Developer
"Build and release engineer with experience in Maven, Gradle, Git, GitHub Actions, and automating software delivery pipelines in enterprise environments.",DevOps Engineer
"Security engineer with red team experience, malware analysis, OWASP testing, and secure code review for web and mobile applications.",Cybersecurity Analyst
"NoSQL specialist with expertise in MongoDB, Cassandra, DynamoDB, and Elasticsearch. Experienced in schema design for high-throughput applications.",Database Administrator
"Multi-cloud engineer experienced in hybrid cloud strategies, cloud migration, cost optimization, and governance across AWS, Azure, and GCP.",Cloud Architect
Software developer with C++ and Python skills. Built embedded systems software and automation tools for manufacturing industry.,Software Engineer
"NLP researcher with experience in BERT, GPT, text classification, sentiment analysis, named entity recognition, and language model fine-tuning.",Data Scientist
"React developer with TypeScript expertise, Redux state management, REST API integration, and unit testing using Jest and React Testing Library.",Web Developer
"Quantitative analyst proficient in Python, R, and MATLAB for financial modeling, risk analysis, and algorithm development.",Data Analyst
"Cloud network engineer with expertise in SD-WAN, BGP, OSPF, MPLS, and designing global enterprise network infrastructure.",Network Engineer
Cross-platform developer using Xamarin and React Native. Delivered enterprise mobile solutions integrated with SharePoint and Office 365.,Mobile Developer
"Infrastructure automation engineer using Puppet, Chef, and Ansible for configuration management of thousands of servers in production.",DevOps Engineer
"Application security engineer experienced in DAST, SAST, secure SDLC, threat modeling, and training developers on security best practices.",Cybersecurity Analyst
"Data warehouse architect proficient in Snowflake, Redshift, BigQuery, dbt, and dimensional modeling for enterprise analytics platforms.",Database Administrator
"Platform engineer building internal developer platforms on Kubernetes with Helm, ArgoCD, and self-service infrastructure provisioning portals.",Cloud Architect
Software engineer with Go and Rust experience. Built high-performance networking tools and distributed systems components.,Software Engineer
"Computer vision engineer using OpenCV, YOLO, and PyTorch for object detection, image segmentation, and real-time video analysis.",Data Scientist
"JavaScript developer with Node.js backend experience. Built scalable REST APIs, real-time WebSocket applications, and CLI tools.",Web Developer
"Marketing analyst using Google Analytics, Mixpanel, and SQL to track funnels, user retention, and campaign ROI for SaaS products.",Data Analyst
"Telecommunications engineer with experience in 4G/5G networks, signal processing, RF planning, and network optimization tools.",Network Engineer
Game developer using Unity and C# for mobile and PC games. Published 3 games with positive reviews on Steam.,Mobile Developer
"Cloud security engineer implementing zero-trust architecture, IAM policies, security groups, and compliance automation on AWS.",DevOps Engineer
"Forensic analyst skilled in digital evidence collection, disk imaging, memory forensics, and legal chain-of-custody procedures.",Cybersecurity Analyst
"ETL developer using Informatica, Talend, and SSIS to build data integration pipelines connecting ERP and CRM systems.",Database Administrator
"FinTech cloud architect designing secure, compliant infrastructure for payment processing, fraud detection, and banking APIs.",Cloud Architect
